post,year,annual_peak_cm,annual_peak_date,spring_peak_cm,spring_peak_date,spring_min_cm,spring_amplitude_cm,max_rise_7d_cm_day,max_fall_7d_cm_day,rise_start_date,days_from_rise_to_peak,days_above_p90,days_above_p95,p90_level_cm,p95_level_cm,annual_peak_cm_z,spring_peak_cm_z,spring_amplitude_cm_z,max_rise_7d_cm_day_z,days_above_p90_z,days_above_p95_z
Покровск,2010,1123.0,2010-05-20,1123.0,2010-05-20,122.0,1001.0,121.14285714285714,-67.0,2010-05-17,3,20,10,565.5,631.0,2.7391732433731284,2.7004365873616214,2.4822009444452617,2.5295822255984457,-0.7937507937511906,-0.5132014883783053
Покровск,2011,827.0,2011-05-13,827.0,2011-05-13,-6.0,833.0,74.71428571428571,-54.285714285714285,2011-05-07,6,19,5,565.5,631.0,-0.014536049901152242,0.10836774306801805,0.9192690778093134,-0.2685091534936455,-0.8572508572512859,-0.9196977167967649
Покровск,2012,879.0,2012-05-19,879.0,2012-05-19,93.0,786.0,80.57142857142857,-57.142857142857146,2012-05-11,8,67,41,565.5,631.0,0.46922369080919435,0.5637311886871645,0.4820202817861612,0.08448083586874161,2.1907521907532863,2.0070751278161443
Покровск,2013,935.0,2013-05-14,935.0,2013-05-14,99.0,836.0,102.28571428571429,-43.42857142857143,2013-05-10,4,32,17,565.5,631.0,0.9901957192664907,1.0541225916616301,0.9471785754278125,1.393126650090274,-0.031750031750047626,0.0558932314075382
Покровск,2014,865.0,2014-07-03,703.0,2014-05-07,85.0,618.0,61.57142857142857,-34.57142857142857,2014-05-01,6,10,7,565.5,631.0,0.3389806836948703,-0.9774989349468698,-1.0809115848497872,-1.0605842515750987,-1.428751428752143,-0.757099225429381
Покровск,2015,839.0,2015-12-03,816.0,2015-05-12,48.0,768.0,95.14285714285714,-40.857142857142854,2015-05-09,3,33,14,565.5,631.0,0.09710081333969697,0.012040860340890894,0.3145632960751667,0.9626510533068747,0.031750031750047626,-0.18800450564353757
Покровск,2016,732.0,2016-06-12,732.0,2016-06-12,64.0,668.0,65.71428571428571,-41.285714285714285,2016-05-07,36,25,13,565.5,631.0,-0.8983278838912085,-0.7235462441208074,-0.6157532912081359,-0.8109084054407277,-0.47625047625071437,-0.2693037513272295
Покровск,2017,704.0,2017-07-21,666.0,2017-05-18,64.0,602.0,64.71428571428571,-21.428571428571427,2017-05-16,2,20,8,565.5,631.0,-1.1588138981198568,-1.3015075404835703,-1.2297622388151157,-0.8711749889904036,-0.7937507937511906,-0.6757999797456891
Покровск,2018,899.0,2018-05-17,899.0,2018-05-17,95.0,804.0,85.0,-56.285714285714285,2018-05-09,8,37,24,565.5,631.0,0.655285129543943,0.7388709754637593,0.6494772674971556,0.3513757058744489,0.2857502857504286,0.6249879511933817
Покровск,2019,652.0,2019-05-19,652.0,2019-05-19,64.0,588.0,58.42857142857143,-29.285714285714285,2019-05-13,6,14,1,565.5,631.0,-1.6425736388302032,-1.4241053912271866,-1.360006561034778,-1.249993514159794,-1.174751174751762,-1.2448946995315326
Покровск,2020,828.0,2020-05-13,828.0,2020-05-13,52.0,776.0,77.85714285714286,-43.0,2020-05-07,6,30,4,565.5,631.0,-0.005232977964414807,0.11712473240684779,0.3889886230578309,-0.0790998909089495,-0.15875015875023812,-1.0009969624804569
Покровск,2021,740.0,2021-05-19,740.0,2021-05-19,55.0,685.0,72.0,-40.57142857142857,2021-05-12,7,24,8,565.5,631.0,-0.8239033083973091,-0.6534903294101694,-0.4575994713699745,-0.4320898802713366,-0.5397505397508097,-0.6757999797456891
Покровск,2022,834.0,2022-05-23,834.0,2022-05-23,71.0,763.0,84.42857142857143,-19.571428571428573,2022-05-17,6,53,30,565.5,631.0,0.050585453656009804,0.16966666843982622,0.26804746671100155,0.3169376581317771,1.3017513017519526,1.1127834252955333
Покровск,2023,798.0,2023-05-19,798.0,2023-05-19,117.0,681.0,63.857142857142854,-21.142857142857142,2023-05-10,9,37,13,565.5,631.0,-0.28432513606653786,-0.14558494775804445,-0.4948121348613066,-0.9228320606044113,0.2857502857504286,-0.2693037513272295
