period,year,month,station_id,station_name,tmean_month,tmean_z,precip_month,precip_z,winter_thaw_days,winter_thaw_z,max_daily_precip,signals,triggered_parameters,risk_points,severity
2022-07,2022,7,24688,Оймякон,19.36,2.59,13.4,-1.6,0,,6.7,аномально тёплый месяц,tmean_z ≥ 2,1,умеренная
2022-07,2022,7,24944,Олёкминск,20.33,1.31,197.0,3.69,0,,93.5,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,экстремальная
2022-07,2022,7,24959,Якутск,23.09,2.29,47.8,0.5,0,,27.6,аномально тёплый месяц,tmean_z ≥ 2,1,умеренная
2022-08,2022,8,24266,Верхоянск,13.4,0.32,55.1,2.25,0,,18.7,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2022-08,2022,8,24343,Жиганск,12.24,-0.66,135.4,4.03,0,,41.8,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,экстремальная
2022-08,2022,8,30230,Киренск,13.1,-1.8,147.1,2.98,0,,34.8,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2022-08,2022,8,24944,Олёкминск,13.82,-0.81,130.5,2.02,0,,22.9,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2022-09,2022,9,24343,Жиганск,3.23,-0.81,75.8,2.32,0,,10.6,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2022-12,2022,12,24266,Верхоянск,-38.58,1.88,15.7,2.76,0,,2.7,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2022-12,2022,12,24343,Жиганск,-36.49,0.12,24.6,1.54,0,,4.4,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2022-12,2022,12,24959,Якутск,-37.45,-0.34,15.1,1.85,0,,2.8,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2023-02,2023,2,24959,Якутск,-33.66,-0.55,17.6,1.93,0,,6.1,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2023-03,2023,3,30230,Киренск,-6.73,0.97,27.0,3.24,7,2.4,8.8,аномально влажный месяц; много дней оттепели,precip_z ≥ 2 или precip_month ≥ P95; month ∈ X–IV; winter_thaw_days > 0; winter_thaw_z ≥ 2,3,экстремальная
2023-03,2023,3,24266,Верхоянск,-26.27,0.1,10.3,3.64,0,-0.26,2.6,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,экстремальная
2023-03,2023,3,24343,Жиганск,-20.36,-0.03,50.4,2.72,0,-0.26,9.5,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2023-03,2023,3,24944,Олёкминск,-10.23,0.9,33.0,5.95,2,1.2,5.9,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,экстремальная
2023-03,2023,3,24959,Якутск,-16.28,0.31,27.7,3.89,1,1.93,4.9,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,экстремальная
2023-04,2023,4,24959,Якутск,-4.26,-0.66,19.9,1.41,10,-0.11,9.7,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2023-06,2023,6,30230,Киренск,15.1,-1.67,167.2,3.45,0,,65.5,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,экстремальная
2023-08,2023,8,30230,Киренск,17.87,1.97,116.4,1.7,0,,35.9,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2023-08,2023,8,24944,Олёкминск,17.64,2.64,11.9,-1.66,0,,4.5,аномально тёплый месяц,tmean_z ≥ 2,1,умеренная
